,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
252,2.0,,,,,,,50.0,,,,2,note_on,,105.0,50.0,105.0,2608,3.395833333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,2.0,2,D,60
402,9.0,,,,,,,44.0,,,,120,note_on,,99.0,44.0,99.0,2706,3.5234375,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
344,1.0,,,,,,,52.0,,,,70,note_on,,127.0,52.0,127.0,2742,3.5703125,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
412,9.0,,,,,,,44.0,,,,92,note_on,,97.0,44.0,97.0,2802,3.6484375,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
267,2.0,,,,,,,38.0,,,,108,note_on,,108.0,38.0,108.0,2816,3.6666666666666665,384,2.0_0.0,Acoustic Grand Piano,3.0,2.0,2,D,60
414,9.0,,,,,,,46.0,,,,12,note_on,,85.0,46.0,85.0,2818,3.669270833333333,384,9.0_0.0,Violin,3.0,10.0,10,A#,300
350,1.0,,,,,,,52.0,,,,10,note_on,,113.0,52.0,113.0,2908,3.786458333333333,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
269,2.0,,,,,,,45.0,,,,96,note_on,,104.0,45.0,104.0,2912,3.7916666666666665,384,2.0_0.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
424,9.0,,,,,,,44.0,,,,118,note_on,,97.0,44.0,97.0,2940,3.828125,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
357,1.0,,,,,,,50.0,,,,2,note_on,,121.0,50.0,121.0,2960,3.8541666666666665,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
360,1.0,,,,,,,45.0,,,,98,note_on,,104.0,45.0,104.0,3070,3.997395833333333,384,1.0_0.0,Acoustic Bass,3.0,9.0,3,D#,270
401,1.0,,,,,,,38.0,,,,10,note_on,,120.0,38.0,120.0,3088,4.020833333333333,384,1.0_1.0,Acoustic Bass,3.0,2.0,2,D,60
405,1.0,,,,,,,45.0,,,,0,note_on,,104.0,45.0,104.0,3090,4.0234375,384,1.0_1.0,Acoustic Bass,3.0,9.0,3,D#,270
410,1.0,,,,,,,47.0,,,,26,note_on,,106.0,47.0,106.0,3124,4.067708333333333,384,1.0_1.0,Acoustic Bass,3.0,11.0,5,F,330
417,1.0,,,,,,,48.0,,,,14,note_on,,109.0,48.0,109.0,3144,4.09375,384,1.0_1.0,Acoustic Bass,4.0,0.0,0,C,0
274,2.0,,,,,,,47.0,,,,38,note_on,,99.0,47.0,99.0,3146,4.096354166666666,384,2.0_1.0,Acoustic Grand Piano,3.0,11.0,5,F,330
277,2.0,,,,,,,48.0,,,,98,note_on,,106.0,48.0,106.0,3244,4.223958333333333,384,2.0_1.0,Acoustic Grand Piano,4.0,0.0,0,C,0
438,9.0,,,,,,,44.0,,,,344,note_on,,108.0,44.0,108.0,3288,4.28125,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
447,9.0,,,,,,,39.0,,,,30,note_on,,85.0,39.0,85.0,3322,4.325520833333333,384,9.0_1.0,Violin,3.0,3.0,9,A,90
420,1.0,,,,,,,50.0,,,,202,note_on,,113.0,50.0,113.0,3346,4.356770833333333,384,1.0_1.0,Acoustic Bass,4.0,2.0,2,D,60
426,1.0,,,,,,,52.0,,,,4,note_on,,110.0,52.0,110.0,3364,4.380208333333333,384,1.0_1.0,Acoustic Bass,4.0,4.0,4,E,120
282,2.0,,,,,,,50.0,,,,50,note_on,,100.0,50.0,100.0,3456,4.5,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
286,2.0,,,,,,,52.0,,,,0,note_on,,100.0,52.0,100.0,3558,4.6328125,384,2.0_1.0,Acoustic Grand Piano,4.0,4.0,4,E,120
431,1.0,,,,,,,48.0,,,,14,note_on,,102.0,48.0,102.0,3578,4.658854166666666,384,1.0_1.0,Acoustic Bass,4.0,0.0,0,C,0
449,9.0,,,,,,,44.0,,,,284,note_on,,99.0,44.0,99.0,3610,4.700520833333333,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
462,9.0,,,,,,,39.0,,,,8,note_on,,90.0,39.0,90.0,3622,4.716145833333333,384,9.0_1.0,Violin,3.0,3.0,9,A,90
477,9.0,,,,,,,44.0,,,,2,note_on,,101.0,44.0,101.0,3628,4.723958333333333,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
498,9.0,,,,,,,44.0,,,,24,note_on,,97.0,44.0,97.0,3656,4.760416666666666,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
504,9.0,,,,,,,46.0,,,,16,note_on,,83.0,46.0,83.0,3676,4.786458333333333,384,9.0_1.0,Violin,3.0,10.0,10,A#,300
293,2.0,,,,,,,48.0,,,,38,note_on,,98.0,48.0,98.0,3690,4.8046875,384,2.0_1.0,Acoustic Grand Piano,4.0,0.0,0,C,0
434,1.0,,,,,,,50.0,,,,124,note_on,,101.0,50.0,101.0,3702,4.8203125,384,1.0_1.0,Acoustic Bass,4.0,2.0,2,D,60
475,1.0,,,,,,,38.0,,,,26,note_on,,125.0,38.0,125.0,3782,4.924479166666666,384,1.0_1.0,Acoustic Bass,3.0,2.0,2,D,60
514,9.0,,,,,,,44.0,,,,164,note_on,,92.0,44.0,92.0,3844,5.005208333333333,384,9.0_1.0,Violin,3.0,8.0,8,G#,240
297,2.0,,,,,,,50.0,,,,18,note_on,,97.0,50.0,97.0,3858,5.0234375,384,2.0_1.0,Acoustic Grand Piano,4.0,2.0,2,D,60
